N,P,K,temperature,humidity,ph,rainfall,label
88.1081142134952,35.00807629004562,43.602165739871,26.881129432782426,70.29378886807699,5.744237172598189,214.0269726997695,rice
81.77432555809546,39.919354443979415,35.905389147646815,26.758795949725656,86.66675161257369,6.2231107441464255,245.50809801949305,rice
89.76859529097086,35.87539617816046,41.770003763595994,23.082234798342004,87.27070180784364,6.182525931154812,204.1768355483243,rice
78.0545186470798,45.86819842563534,39.25825848606975,24.143344355673786,79.88719869707062,6.386308214943672,221.51148802746846,rice
89.20987263827908,42.06794081443784,50.279908484178215,24.18716996723077,78.92654362557077,5.915179545113243,229.40335181112812,rice
96.5155173857531,39.4530522032566,35.96724891057987,23.35103756861752,85.90355672694821,6.460138959921205,227.10935945161364,rice
78.21180098565532,41.114374350720254,40.560091883875494,25.437377193458026,87.22857266768914,6.278258442071139,231.38577723676468,rice
85.68930650878669,41.38777311371192,43.030183484024995,22.085688360288668,80.08197270185619,6.0353695709975215,189.87534778033472,rice
82.19354903748783,47.1757182939251,35.84401064467243,26.936556709182963,71.90278137030518,6.082790239504979,215.12672155080767,rice
90.97946777986463,43.4138875830057,43.80806672895964,24.302549855503123,79.22588924401259,6.500291558440004,203.97391376622915,rice
71.9879995019532,34.560221372783296,35.58662902719227,25.994321488107527,82.8545544164234,6.441669873923719,196.54154164039917,rice
86.61710484898248,43.00283389104322,38.51513660934285,25.913550475114825,78.0284443536001,6.072931153702225,197.97525633905263,rice
72.8024356149918,42.337467907770794,37.746868767026925,25.024988237455375,84.88447995343546,6.35628591161048,230.95963093264277,rice
83.99544805800387,37.96816810218806,39.617352587649286,21.62533113208394,73.31732516546148,5.737055135675959,178.58672493055332,rice
89.07769711257906,35.65370053427171,38.184819740610926,27.59845659557213,79.86241617363144,6.45813044896348,180.59104307968886,rice
82.90453690975018,35.43989413642921,38.3726412356773,26.68061627491479,71.63607746084591,6.35204827524105,217.48867147346675,rice
78.9396704518927,33.05892229893542,40.346221637026574,23.941014581872395,83.39605726812822,6.207648250933206,260.4560350766088,rice
82.55857259977515,35.08721203541505,40.860523047790316,25.43999336794353,90.15512545144261,6.492288936070103,221.24143836320954,rice
99.92568949043952,34.29393733925031,36.92919264280121,23.14684811718895,79.66114118106539,5.718159848355292,230.00725482465373,rice
82.73332848959251,32.940129786387246,35.1252204102038,25.62702769490039,87.02875940736628,6.898855812092125,301.7866676792309,rice
89.22697621941516,35.25021702384705,29.76617785248972,25.535422924687673,77.12235342813804,6.054624958937111,190.71895082961603,rice
83.56393295855287,45.11670510778069,40.75383312373766,24.682730325922623,75.78607748304513,5.613860969353476,194.68130086419006,rice
84.45141798165314,48.48606358518344,40.625317703069854,26.965479022046114,79.00422640876509,5.785269681754041,179.5988219896803,rice
77.60269414173531,50.21665471568879,36.05734393972295,26.67697840747269,76.58243693147784,6.526050554505986,222.12595543233468,rice
83.40229344388747,39.80433987454992,36.85701906193893,25.89214440296416,79.27009911795533,5.771037982681463,169.744966408932,rice
86.76039676076562,47.579638030770084,40.7679597451525,24.762723347780234,83.71495683761526,6.657100609597389,216.91054879296146,rice
80.80854224549589,45.310185808287464,42.05803090461575,28.071511983991982,83.09940662333143,5.771435838897825,166.90298522376156,rice
101.83946490875874,48.273595459759825,39.138307776243515,24.233625357728023,90.7686657534532,5.81253401128478,181.81609890289147,rice
91.56193330582825,38.10589541027397,39.97541503974366,24.673114202950973,84.0254472927936,6.692618651459801,212.85342456740497,rice
91.56817569142395,30.159173915051092,39.76615167073543,23.313539459414258,74.68712163745823,5.892646671574937,199.47511161792443,rice
94.34220593203133,33.63331495485009,40.1470311644532,24.031661133332843,80.03396143382824,6.5509652388566115,226.95063626562367,rice
98.64146069591598,39.258372739600475,36.65947546398063,24.552282366239,83.45498074762733,6.261800675458799,175.84177572464895,rice
85.92299577260432,41.09549598466675,52.083875380162816,28.75368922256334,76.88053989664708,6.099415823457789,163.9015769421344,rice
78.97478845757244,41.51490401723363,45.78809738026352,23.541832324512782,78.07512135959323,5.448448839591471,204.8760235028354,rice
74.16337299903246,37.458690748642844,35.79106826479558,24.811474891494885,71.45362965186021,5.686534164113153,277.0712840288914,rice
71.86828967100489,34.73542922341773,48.81718493594231,30.810134338480815,74.97060022704795,6.0711128651241895,220.75899985462604,rice
102.63271597293704,35.26308602354446,38.82266633947788,26.554675152123487,84.60859644679971,6.068345375069465,205.7845766177447,rice
70.97606275462618,38.856766028921605,38.721340047957014,25.464339779252512,78.6680366870859,6.365038482890799,241.9005482613246,rice
86.58537914221836,41.68843076031618,40.255145668373764,25.00016878618283,77.67065179874291,6.310772991585658,206.93547214997508,rice
106.35031675109207,47.552103531881166,41.8520634522712,23.473885580610464,75.32553116809949,6.616900033581103,218.27660059213486,rice
89.89746271459443,31.625987262523875,44.451704711479266,25.908840676428724,75.33741589351314,6.034966317392518,218.30709193723035,rice
85.53516134323368,38.597578308142936,39.50325631328339,24.49604524358623,82.91537507261481,6.7150221905476055,129.15025911066414,rice
82.58412730200122,40.84725962258774,41.42077115049808,24.25617083735742,71.4596693051285,6.3147984192999385,264.4115317461718,rice
69.3546136698554,44.14637446575131,38.42307892901011,24.877351308342305,75.6826089357763,6.082940339675443,250.9514047330172,rice
90.94308346827461,48.315095705967735,45.65157706709293,25.878173357859154,92.46360715700675,6.353647605558405,236.08162756910735,rice
81.97497627394597,40.31941991612418,36.65236564815867,26.979167869189705,74.9301782613108,6.473822619846182,203.9944916885875,rice
96.94672035336666,43.604171145910044,48.73910155670465,26.46154938227729,72.56775846608056,6.17656638948563,173.0817734332633,rice
79.713545607864,47.25389647972826,43.06016229230894,23.602139142842507,75.91769580135761,6.2114737325066915,171.67835529449448,rice
78.15436917055487,41.49764546344597,45.54549777331214,26.21752294444888,68.2522629484114,6.306528355160591,212.2690575568262,rice
89.22168091080147,47.7578064719258,30.096456271337235,23.81779314961779,85.54543793676012,5.646441960191121,256.49239501368555,rice
88.75723744954672,44.06360313204834,37.25947042469539,26.62752737993242,88.41082933593422,6.281507307048009,217.38362812000892,rice
87.7575010406736,35.85594272925097,39.29186233484631,24.694954935095282,84.30036318612098,6.549938486418603,176.6561134176801,rice
83.72490789074031,47.11098662876307,36.43077650169969,23.35549996541936,83.21383715098716,6.4955348166698625,210.35992075016077,rice
98.5553980224573,44.11261111631933,44.040736321072295,26.108233002648188,95.96591860207651,6.128193408896885,146.8890477999048,rice
101.36339448747484,37.80304273140724,40.51782613284656,27.619101369721054,72.38644275364645,5.761923475062852,159.5597449807561,rice
76.89980984174068,42.11025570888157,42.5161016455013,25.55254835865711,73.5234046966458,5.391463797178575,211.71213793979703,rice
80.18788445688898,42.205051704239736,43.369377405862096,25.276482864117362,86.56079851225512,6.280223980940274,226.6970382264462,rice
77.8123327187272,39.137865213609,40.944525263953395,26.641056950834837,79.63755296665256,6.3824085395062395,201.62607805466556,rice
83.80106989325307,43.98169140171555,30.43331021894005,22.407055343850477,73.10688761534308,5.383234358053094,188.63467013511195,rice
92.64422577722296,38.63255648136364,40.94939239332089,27.178434993421586,89.96611679360615,6.1758017228458515,252.63795552143603,rice
85.93969191602791,35.98048852562818,37.14687830944607,22.038926974869966,76.67119687759809,6.07469415917395,235.31292811042596,rice
102.55185227789303,33.365528726190206,41.88557184764761,22.918912121684933,84.84818253077921,6.154119672259296,152.3264664858028,rice
94.46862931399853,37.09599657851809,37.43727885580694,22.86049517742062,78.07430033987467,6.349761654243221,204.03880326050322,rice
88.3523524232813,41.73722489885845,46.3391759465352,24.314427698271242,73.13885309892561,6.573527845800195,199.5581225789365,rice
96.36884293468924,41.84021014327586,39.37053985502394,25.69755178809259,93.7060753607578,6.926943185168813,212.18550575668252,rice
86.63394405183416,45.16595275583865,35.940827042716734,25.66614074523651,81.84482291227687,6.309867874010144,183.74888261259372,rice
68.78641156824852,30.049679507241798,34.636556257649886,24.082649430121332,80.24085048010743,6.878030906850331,244.8387911520799,rice
75.1866706133154,41.66900057176459,38.04602446551844,24.43127232391981,83.1119538964923,6.416709890941388,199.3133577576535,rice
95.85128563389046,34.51869651451646,40.03042749933889,30.195347453191665,83.33847845575166,6.70162507731216,212.88288561245605,rice
90.92392637236392,39.72744066691508,39.18204361041182,23.44103520654916,84.58180815374531,5.9019619837849815,230.965934943873,rice
